"legis.annee","groupe.pol","ProfSigni","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2012,"Non-inscrits","cadsupprive",1,0.925925925925926,100,100,49,49,95.8333333333333,95.8333333333333,100,100,100,100,0,0,100,100,95.8333333333333,95.8333333333333,0,0,23,23
2012,"Non-inscrits","cadsuppub",2,1.18343195266272,0,0,60,60,66.0839160839161,66.0839160839161,50,50,100,100,0,0,100,100,62.2377622377623,62.2377622377623,0,0,22.5,22.5
2012,"Non-inscrits","collab",2,1.96078431372549,50,50,44,44,88.4615384615385,88.4615384615385,50,50,0,0,0,0,100,100,55.1282051282051,55.1282051282051,50,50,16,16
2012,"Non-inscrits","NA",2,14.2857142857143,50,50,31.5,31.5,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0
2012,"Non-inscrits","proflib",1,1.28205128205128,0,0,64,64,0,0,0,0,100,100,0,0,0,0,0,0,100,100,0,0
2012,"Radical","artisancommercantpdg",1,4.34782608695652,0,0,35,35,40,40,0,0,100,100,0,0,100,100,40,40,100,100,4,4
2012,"Radical","cadsuppub",7,4.14201183431953,14.2857142857143,0,59,64,69.6280021196965,74.3589743589744,14.2857142857143,0,100,100,0,0,100,100,69.6280021196965,74.3589743589744,42.8571428571429,0,23,29
2012,"Radical","collab",3,2.94117647058824,33.3333333333333,0,43.6666666666667,48,79.7101449275362,100,100,100,0,0,0,0,66.6666666666667,100,31.1594202898551,43.4782608695652,66.6666666666667,100,14,10
2012,"Radical","profinter",6,5.71428571428571,33.3333333333333,0,54.1666666666667,52.5,48.2783429394426,47.2408026755853,0,0,0,0,100,100,100,100,48.2783429394426,47.2408026755853,83.3333333333333,100,15.8333333333333,11.5
2012,"Radical","proflib",3,3.84615384615385,33.3333333333333,0,57.6666666666667,60,66.6614906832298,73.9130434782609,0,0,100,100,0,0,100,100,66.6614906832298,73.9130434782609,33.3333333333333,0,21.6666666666667,17
2012,"RPR/UMP/LR","agri",7,38.8888888888889,0,0,57.1428571428571,56,76.8016477278148,76.0869565217391,0,0,100,100,0,0,100,100,76.8016477278148,76.0869565217391,14.2857142857143,0,24,23
2012,"RPR/UMP/LR","artisancommercantpdg",15,65.2173913043478,0,0,58.4,59,62.836514971532,63.0434782608696,6.66666666666667,0,100,100,0,0,100,100,62.836514971532,63.0434782608696,6.66666666666667,0,20.8,23
