"legis.annee","cabcollab","ProfSigni","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2007,"Jamais collaborateur","employe",7,87.5,57.1428571428571,100,55.5714285714286,56,71.0292929458015,70.5882352941177,0,0,0,0,100,100,100,100,71.0292929458015,70.5882352941177,14.2857142857143,0,21.8571428571429,24
2007,"Jamais collaborateur","NA",7,77.7777777777778,57.1428571428571,100,52.8571428571429,52,67.4722222222222,75,0,0,0,0,0,0,85.7142857142857,100,67.4722222222222,75,57.1428571428571,100,19.4285714285714,24
2007,"Jamais collaborateur","ouvrier",5,100,0,0,61.4,61,75.2073732718894,85.7142857142857,0,0,0,0,100,100,100,100,75.2073732718894,85.7142857142857,40,0,28.4,36
2007,"Jamais collaborateur","profinter",72,90,34.7222222222222,0,55.2361111111111,57,64.6695823985482,71.1915535444948,0,0,0,0,100,100,97.2222222222222,100,64.6695823985482,71.1915535444948,41.6666666666667,0,20.0277777777778,19.5
2007,"Jamais collaborateur","proflib",85,90.4255319148936,17.6470588235294,0,57.4941176470588,58,61.2351921070942,65,0,0,100,100,0,0,96.4705882352941,100,61.2351921070942,65,22.3529411764706,0,19.9764705882353,21
2007,"Total","agri",18,100,11.1111111111111,0,54.9444444444444,56.5,61.2502516544671,65.8646616541354,0,0,100,100,0,0,94.4444444444444,100,61.2502516544671,65.8646616541354,44.4444444444444,0,17.9444444444444,19.5
2007,"Total","artisancommercantpdg",37,100,8.10810810810811,0,55.3783783783784,56,64.1765567046204,66.6666666666667,8.10810810810811,0,100,100,0,0,100,100,62.9661154941792,64.2857142857143,27.027027027027,0,19.5405405405405,19
2007,"Total","cadsupprive",100,100,17,0,54.67,55,66.2485881529766,71.7142857142857,15,0,100,100,0,0,98,100,64.5279831423577,67.5438596491228,21,0,19.57,19
2007,"Total","cadsuppub",196,100,16.8367346938776,0,56.3571428571429,57.5,64.4821380098641,65,33.6734693877551,0,100,100,0,0,94.8979591836735,100,61.1187555147887,62.3310810810811,26.530612244898,0,20.1530612244898,20
2007,"Total","collab",92,100,16.304347826087,0,49.4021739130435,50.5,84.4251004518574,90.1612903225806,92.3913043478261,100,0,0,0,0,94.5652173913043,100,63.3091560357645,69.2307692307692,30.4347826086957,0,20.5217391304348,20.5
2007,"Total","employe",8,100,62.5,100,55.5,55.5,64.6506313275763,69.9095022624435,12.5,0,0,0,100,100,100,100,64.6506313275763,69.9095022624435,12.5,0,19.875,21
2007,"Total","NA",9,100,55.5555555555556,100,51.7777777777778,51,69.1450617283951,75,22.2222222222222,0,0,0,0,0,88.8888888888889,100,65.7262583095916,75,55.5555555555556,100,18.7777777777778,20
2007,"Total","ouvrier",5,100,0,0,61.4,61,75.2073732718894,85.7142857142857,0,0,0,0,100,100,100,100,75.2073732718894,85.7142857142857,40,0,28.4,36
2007,"Total","profinter",80,100,33.75,0,55.1875,57,66.099199805269,72.10433244916,10,0,0,0,100,100,97.5,100,64.8260979071671,71.1915535444948,38.75,0,20.325,21.5
2007,"Total","proflib",94,100,17.0212765957447,0,57.1382978723404,57,62.6301647203546,66.6666666666667,9.57446808510638,0,100,100,0,0,96.8085106382979,100,61.3342204492461,64.8529411764706,24.468085106383,0,20.1063829787234,21
2012,"Ancien collaborateur","artisancommercantpdg",1,4.34782608695652,0,0,47,47,100,100,100,100,100,100,0,0,100,100,100,100,0,0,22,22
2012,"Ancien collaborateur","cadsupprive",30,27.7777777777778,10,0,53.9333333333333,52,76.3306346215072,83.0220713073005,100,100,100,100,0,0,93.3333333333333,100,60.9120396441516,57.5454545454546,40,0,21.9333333333333,21
2012,"Ancien collaborateur","cadsuppub",57,33.7278106508876,22.8070175438597,0,53.1578947368421,53,69.2162264693609,69.6969696969697,100,100,100,100,0,0,96.4912280701754,100,57.6572507094197,60,33.3333333333333,0,19.280701754386,19
2012,"Ancien collaborateur","collab",97,95.0980392156863,16.4948453608247,0,47.4226804123711,46,84.3029616641358,89.4736842105263,100,100,0,0,0,0,92.7835051546392,100,58.0183133782028,58.0645161290323,47.4226804123711,0,19.0618556701031,17
2012,"Ancien collaborateur","NA",3,21.4285714285714,33.3333333333333,0,53.6666666666667,55,71.5770609318997,58.0645161290323,100,100,0,0,0,0,100,100,62.9749103942652,56.6666666666667,33.3333333333333,0,20,18
2012,"Ancien collaborateur","profinter",12,11.4285714285714,33.3333333333333,0,55.1666666666667,54,68.6011808628132,68.1818181818182,100,100,0,0,100,100,100,100,55.5924867290237,49.8550724637682,58.3333333333333,100,20.3333333333333,23
2012,"Ancien collaborateur","proflib",7,8.97435897435897,14.2857142857143,0,61.1428571428571,61,77.9176858578852,86.046511627907,100,100,100,100,0,0,100,100,71.6484023543824,81.3953488372093,0,0,27.8571428571429,24
