"legis.annee","ProfSigni","genre","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2017,"NA","Femmes",4,1.75438596491228,100,100,48.25,51,68.6249715197084,63.0075187969925,25,0,0,0,0,0,100,100,67.3091820460242,60.3759398496241,50,50,14,14
2017,"NA","Hommes",6,1.68067226890756,0,0,35.3333333333333,34,47.5,37.5,0,0,0,0,0,0,66.6666666666667,100,47.5,37.5,83.3333333333333,100,5.83333333333333,1.5
2017,"profinter","Femmes",45,19.7368421052632,100,100,51.1111111111111,51,24.7951661021481,17.6470588235294,0,0,0,0,100,100,68.8888888888889,100,24.7951661021481,17.6470588235294,88.8888888888889,100,7.44444444444444,3
2017,"profinter","Hommes",34,9.52380952380952,0,0,47.5294117647059,49,44.8512331921785,44.0972222222222,14.7058823529412,0,0,0,100,100,70.5882352941177,100,41.8324423425052,42.6767676767677,76.4705882352941,100,12,9
2017,"proflib","Femmes",24,10.5263157894737,100,100,49.75,50.5,24.3712222143621,18.4375,8.33333333333333,0,100,100,0,0,62.5,100,23.5252626184025,18.4375,91.6666666666667,100,7.08333333333333,4.5
2017,"proflib","Hommes",44,12.3249299719888,0,0,53.1136363636364,54,36.3248346656833,42.2619047619048,2.27272727272727,0,100,100,0,0,77.2727272727273,100,36.1500094908582,40.3985507246377,63.6363636363636,100,12.3636363636364,8
2017,"Total","Femmes",228,100,100,100,47.8947368421053,48.5,26.5064448272203,15,19.2982456140351,0,64.0350877192982,100,21.4912280701754,0,53.5087719298246,100,20.3213437212951,10.3448275862069,84.2105263157895,100,6.6140350877193,3
2017,"Total","Hommes",357,100,0,0,49.9159663865546,50,49.7497572083826,53.3333333333333,28.2913165266106,0,71.4285714285714,100,10.0840336134454,0,74.7899159663866,100,43.6274433984146,44.4444444444444,64.7058823529412,100,13.4957983193277,12
2022,"agri","Femmes",2,0.884955752212389,100,100,47,47,69.2982456140351,69.2982456140351,0,0,100,100,0,0,50,50,69.2982456140351,69.2982456140351,0,0,13,13
2022,"agri","Hommes",9,2.42587601078167,0,0,56,56,60.8590582040166,58.3333333333333,0,0,100,100,0,0,100,100,60.8590582040166,58.3333333333333,33.3333333333333,0,19.5555555555556,21
2022,"artisancommercantpdg","Femmes",17,7.52212389380531,100,100,50.5294117647059,51,34.4101137984585,27.2727272727273,17.6470588235294,0,100,100,0,0,64.7058823529412,100,33.49508111872,27.2727272727273,35.2941176470588,0,7.29411764705882,7
2022,"artisancommercantpdg","Hommes",35,9.43396226415094,0,0,54.5714285714286,54,42.9815718340421,36.3636363636364,11.4285714285714,0,100,100,0,0,82.8571428571429,100,41.94122466069,35.7142857142857,31.4285714285714,0,13,8
2022,"cadsupprive","Femmes",46,20.353982300885,100,100,47.9347826086956,46,32.8469048875497,28.5947712418301,23.9130434782609,0,100,100,0,0,58.695652173913,100,30.7418504310431,26.6194331983805,39.1304347826087,0,7.28260869565217,5
2022,"cadsupprive","Hommes",70,18.8679245283019,0,0,48.9285714285714,50,48.1462664361369,48.1379310344827,20,0,100,100,0,0,60,100,42.9713731854057,44.0092165898618,40,0,10.4571428571429,8
2022,"cadsuppub","Femmes",41,18.141592920354,100,100,48.1951219512195,48,33.8827736963375,29.6296296296296,17.0731707317073,0,100,100,0,0,68.2926829268293,100,32.3146761633906,26.6666666666667,65.8536585365854,100,8.53658536585366,6
2022,"cadsuppub","Hommes",78,21.0242587601078,0,0,50.6282051282051,50,47.557105760869,50,29.4871794871795,0,100,100,0,0,70.5128205128205,100,44.3211159793566,44.1558441558442,50,50,13.0512820512821,8.5
2022,"collab","Femmes",34,15.0442477876106,100,100,45.5294117647059,44,78.1165141018258,88.3445945945946,94.1176470588235,100,0,0,0,0,55.8823529411765,100,35.5582057817883,27.1264367816092,44.1176470588235,0,15.9411764705882,14.5
2022,"collab","Hommes",83,22.3719676549865,0,0,43.4819277108434,42,86.1455094886328,92.3076923076923,95.1807228915663,100,0,0,0,0,85.5421686746988,100,57.0943053176827,60,50.6024096385542,100,15.5421686746988,14
2022,"employe","Femmes",14,6.19469026548673,100,100,52.0714285714286,51.5,18.9492362686594,17.6470588235294,7.14285714285714,0,0,0,100,100,50,50,17.591770205311,4.16666666666667,78.5714285714286,100,5.71428571428571,2
2022,"employe","Hommes",13,3.50404312668464,0,0,38.6153846153846,36,27.2977524148093,16.6666666666667,30.7692307692308,0,0,0,100,100,53.8461538461538,100,24.6170997341566,12.5,92.3076923076923,100,5,2
