"legis.annee","elu.local","ProfSigni","effectifs","pourcentages","mean_part.femmes","median_part.femmes","mean_age","median_age","mean_part.pol","median_part.pol","mean_part.cabcollab","median_part.cabcollab","mean_part.pcs.123","median_part.pcs.123","mean_part.pcs.456","median_part.pcs.456","mean_part.elu.local","median_part.elu.local","mean_part.mandat","median_part.mandat","mean_part.primos","median_part.primos","mean_duree.pol","median_duree.pol"
2012,"Total","employe",6,100,33.3333333333333,0,56.5,57,35.3033731913042,37.0726495726496,0,0,0,0,100,100,83.3333333333333,100,35.3033731913042,37.0726495726496,33.3333333333333,0,11.5,11
2012,"Total","NA",14,100,57.1428571428571,100,54.7857142857143,56.5,60.9327593802644,56.6666666666667,21.4285714285714,0,0,0,0,0,85.7142857142857,100,58.9476477177334,56.6666666666667,50,50,18.2142857142857,17.5
2012,"Total","profinter",105,100,45.7142857142857,0,57.2571428571429,57,55.345735803733,58.6206896551724,11.4285714285714,0,0,0,100,100,93.3333333333333,100,53.8590279027285,56.0975609756098,50.4761904761905,100,18.2380952380952,17
2012,"Total","proflib",78,100,19.2307692307692,0,57.8076923076923,60.5,63.5582035188428,62.5625625625626,8.97435897435897,0,100,100,0,0,97.4358974358974,100,62.9955755121182,62.5625625625626,23.0769230769231,0,21.1923076923077,21.5
2017,"Ancien élu local","agri",13,86.6666666666667,7.69230769230769,0,58.4615384615385,59,70.9734826506472,66.6666666666667,0,0,100,100,0,0,100,100,70.9734826506472,66.6666666666667,38.4615384615385,0,24.1538461538462,22
2017,"Ancien élu local","artisancommercantpdg",34,51.5151515151515,23.5294117647059,0,51.6176470588235,50,43.5634160095739,38.3152173913043,20.5882352941176,0,100,100,0,0,100,100,42.1969739933904,38.3152173913043,64.7058823529412,100,12.5,9
2017,"Ancien élu local","cadsupprive",63,48.0916030534351,19.047619047619,0,51.9206349206349,52,51.6991064218956,47.5972540045766,12.6984126984127,0,100,100,0,0,100,100,49.3029019225274,41.1010558069381,63.4920634920635,100,14,9
2017,"Ancien élu local","cadsuppub",88,72.7272727272727,30.6818181818182,0,54.25,53.5,53.1385270223559,56.6964285714285,18.1818181818182,0,100,100,0,0,100,100,51.1205517315905,53.4523809523809,52.2727272727273,100,15.6590909090909,16
2017,"Ancien élu local","collab",75,84.2696629213483,28,0,49.2133333333333,50,84.6220045336794,91.4285714285714,94.6666666666667,100,0,0,0,0,100,100,63.1395302849544,64,50.6666666666667,100,20.2133333333333,20
2017,"Ancien élu local","employe",4,66.6666666666667,75,100,54,52.5,25.6547619047619,21.6666666666667,0,0,0,0,100,100,100,100,25.6547619047619,21.6666666666667,100,100,8.25,6
2017,"Ancien élu local","NA",8,80,50,50,41.5,38.5,73.1428408684048,63.1578947368421,12.5,0,0,0,0,0,100,100,72.3909611691567,62.8571428571429,62.5,100,11.375,9
2017,"Ancien élu local","profinter",55,69.620253164557,56.3636363636364,100,52.6,51,46.1470093498517,41.1764705882353,3.63636363636364,0,0,0,100,100,100,100,46.1470093498517,41.1764705882353,76.3636363636364,100,13.2363636363636,9
2017,"Ancien élu local","proflib",49,72.0588235294118,30.6122448979592,0,55.469387755102,56,44.4190896279202,45.7142857142857,4.08163265306122,0,100,100,0,0,100,100,43.9838106212126,45.1612903225806,63.265306122449,100,14.5510204081633,13
2017,"Jamais élu local","agri",2,13.3333333333333,50,50,33,33,0,0,0,0,100,100,0,0,0,0,0,0,100,100,0,0
2017,"Jamais élu local","artisancommercantpdg",32,48.4848484848485,43.75,0,47.3125,47.5,0.782608695652175,0,9.375,0,100,100,0,0,0,0,0,0,100,100,0.1875,0
2017,"Jamais élu local","cadsupprive",68,51.9083969465649,58.8235294117647,100,40.1323529411765,38,5.32551259532535,0,17.6470588235294,0,100,100,0,0,0,0,0.585358437016952,0,97.0588235294118,100,0.691176470588235,0
2017,"Jamais élu local","cadsuppub",33,27.2727272727273,57.5757575757576,100,44.5454545454545,43,3.88133108721344,0,15.1515151515152,0,100,100,0,0,0,0,0.541125541125542,0,96.969696969697,100,0.757575757575758,0
2017,"Jamais élu local","collab",14,15.7303370786517,57.1428571428571,100,39.4285714285714,40,78.4034218950738,85.75,100,100,0,0,0,0,0,0,6.62554495482404,0,78.5714285714286,100,10.8571428571429,11.5
2017,"Jamais élu local","employe",2,33.3333333333333,50,50,45,45,0,0,0,0,0,0,100,100,0,0,0,0,100,100,0,0
2017,"Jamais élu local","NA",2,20,0,0,36.5,36.5,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0
